ThreadID: 32, Smelter: 3, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 20.516662 ms.
ThreadID: 32, Smelter: 3, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 23.760678 ms.
ThreadID: 40, Smelter: 0, Transporter: 1, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 24.199987 ms.
ThreadID: 39, Smelter: 0, Transporter: 0, Constructor: 5, Action: CONSTRUCTOR_CREATED, TimeStamp: 24.556945 ms.
ThreadID: 38, Smelter: 0, Transporter: 0, Constructor: 4, Action: CONSTRUCTOR_CREATED, TimeStamp: 25.050894 ms.
ThreadID: 37, Smelter: 0, Transporter: 0, Constructor: 3, Action: CONSTRUCTOR_CREATED, TimeStamp: 25.637134 ms.
ThreadID: 36, Smelter: 0, Transporter: 0, Constructor: 2, Action: CONSTRUCTOR_CREATED, TimeStamp: 26.022590 ms.
ThreadID: 35, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_CREATED, TimeStamp: 26.417415 ms.
ThreadID: 30, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 26.711359 ms.
ThreadID: 30, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 27.090751 ms.
ThreadID: 33, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 27.436173 ms.
ThreadID: 33, Smelter: 4, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 27.689596 ms.
ThreadID: 34, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 27.909523 ms.
ThreadID: 34, Smelter: 5, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 28.199700 ms.
ThreadID: 31, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_CREATED, TimeStamp: 28.460393 ms.
ThreadID: 31, Smelter: 2, Transporter: 0, Constructor: 0, Action: SMELTER_STARTED, TimeStamp: 28.781684 ms.
ThreadID: 49, Smelter: 0, Transporter: 10, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 29.060267 ms.
ThreadID: 48, Smelter: 0, Transporter: 9, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 29.352300 ms.
ThreadID: 47, Smelter: 0, Transporter: 8, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 29.701477 ms.
ThreadID: 46, Smelter: 0, Transporter: 7, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 29.984282 ms.
ThreadID: 45, Smelter: 0, Transporter: 6, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 30.259713 ms.
ThreadID: 44, Smelter: 0, Transporter: 5, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 30.491361 ms.
ThreadID: 43, Smelter: 0, Transporter: 4, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 30.840949 ms.
ThreadID: 42, Smelter: 0, Transporter: 3, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 31.057225 ms.
ThreadID: 41, Smelter: 0, Transporter: 2, Constructor: 0, Action: TRANSPORTER_CREATED, TimeStamp: 31.279981 ms.
